PhotonEnergy[keV],TotalCrossSection[barn/atom],K-shell,L-shell,M-shell,All Other,1s1/2,2s1/2,2p1/2,2p3/2,3s1/2,3p1/2,3p3/2,3d3/2,3d5/2,4s1/2,4p1/2,4p3/2,4d3/2,4d5/2,4f5/2,4f7/2,5s1/2,5p1/2,5p3/2,5d3/2,5d5/2,6s1/2,6p1/2,6p3/2,7s1/2,,,
400,6.2547E+01,5.0312E+01,9.2953E+00,2.2036E+00,7.3645E-01,5.0312E+01,5.9854E+00,2.0422E+00,1.2678E+00,1.3503E+00,4.9888E-01,3.2721E-01,1.4093E-02,1.3094E-02,3.5708E-01,1.3004E-01,8.4919E-02,4.0539E-03,3.7378E-03,2.3527E-05,2.4305E-05,8.5447E-02,2.8870E-02,1.8466E-02,7.0766E-04,6.4391E-04,1.5265E-02,4.1855E-03,2.4518E-03,5.3509E-04,,,
500,3.6695E+01,2.9606E+01,5.3869E+00,1.2753E+00,4.2670E-01,2.9606E+01,3.5598E+00,1.1455E+00,6.8159E-01,8.0345E-01,2.8156E-01,1.7682E-01,6.9377E-03,6.5153E-03,2.1244E-01,7.3505E-02,4.5943E-02,2.0015E-03,1.8654E-03,1.0506E-05,1.1184E-05,5.0848E-02,1.6322E-02,9.9924E-03,3.4957E-04,3.2137E-04,9.0840E-03,2.3664E-03,1.3272E-03,3.1887E-04,,,
600,2.4140E+01,1.9525E+01,3.5078E+00,8.2935E-01,2.7771E-01,1.9525E+01,2.3602E+00,7.2755E-01,4.1997E-01,5.3276E-01,1.7954E-01,1.0929E-01,3.9707E-03,3.7925E-03,1.4086E-01,4.6919E-02,2.8409E-02,1.1494E-03,1.0857E-03,5.5655E-06,5.9940E-06,3.3716E-02,1.0420E-02,6.1808E-03,2.0047E-04,1.8728E-04,6.0235E-03,1.5108E-03,8.2128E-04,2.1187E-04,,,
800,1.2884E+01,1.0460E+01,1.8438E+00,4.3500E-01,1.4578E-01,1.0460E+01,1.2690E+00,3.6984E-01,2.0495E-01,2.8635E-01,9.1666E-02,5.3514E-02,1.7383E-03,1.7230E-03,7.5702E-02,2.3980E-02,1.3916E-02,5.0384E-04,4.9343E-04,2.1239E-06,2.4740E-06,1.8119E-02,5.3278E-03,3.0286E-03,8.8055E-05,8.5270E-05,3.2374E-03,7.7250E-04,4.0275E-04,1.1447E-04,,,
1000,8.1398E+00,6.6240E+00,1.1531E+00,2.7158E-01,9.1072E-02,6.6240E+00,8.0354E-01,2.2709E-01,1.2246E-01,1.8126E-01,5.6402E-02,3.1957E-02,9.7397E-04,9.8466E-04,4.7909E-02,1.4767E-02,8.3304E-03,2.8196E-04,2.8500E-04,1.1230E-06,1.3656E-06,1.1466E-02,3.2806E-03,1.8123E-03,4.9260E-05,4.9085E-05,2.0490E-03,4.7578E-04,2.4129E-04,7.3020E-05,,,
1500,3.7444E+00,3.0565E+00,5.2356E-01,1.2306E-01,4.1263E-02,3.0565E+00,3.6951E-01,1.0161E-01,5.2445E-02,8.3255E-02,2.5331E-02,1.3693E-02,3.7698E-04,4.0091E-04,2.1998E-02,6.6245E-03,3.5680E-03,1.0897E-04,1.1631E-04,4.0722E-07,5.2998E-07,5.2647E-03,1.4720E-03,7.7671E-04,1.9066E-05,2.0054E-05,9.4156E-04,2.1377E-04,1.0388E-04,3.4615E-05,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of electrons,,,,,,2,2,2,4,2,2,4,4,6,2,2,4,4,6,6,8,2,2,4,4,6,2,2,4,1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
